City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,hadibu,12.65,54.0333,26.69,81,45,5.23,YE,1695578319
304,jeremie,18.65,-74.1167,31.14,65,100,2.06,HT,1695578319
305,proddatur,14.7333,78.55,28.39,67,100,2.23,IN,1695578319
306,hammerfest,70.6634,23.6821,6.25,75,75,2.06,NO,1695578319
307,cooper's town,26.8667,-77.5167,27.55,69,94,1.85,BS,1695578319
308,bongaigaon,26.4782,90.5568,22.86,94,100,1.57,IN,1695578320
309,nola,40.922,14.5329,20.92,80,78,3.25,IT,1695578320
310,keflavik,64.0049,-22.5624,7.95,87,100,8.75,IS,1695578320
311,haiku-pauwela,20.9219,-156.3051,25.58,82,40,6.17,US,1695578320
312,kone,-21.0595,164.8658,17.54,92,34,2.48,NC,1695578320
313,oroqen zizhiqi,50.5667,123.7167,7.57,97,86,0.89,CN,1695578321
314,dawei,14.0833,98.2,24.93,93,99,1.01,MM,1695578321
315,hinton,53.4001,-117.5857,13.71,45,100,1.64,CA,1695578321
316,san felipe,10.3399,-68.7425,32.9,45,98,3.8,VE,1695578321
317,badger,64.8,-147.5333,3.17,88,100,1.54,US,1695578321
318,aioun,16.6614,-9.6149,39.89,17,45,2.65,MR,1695578322
319,konstantinovskiy,57.8301,39.5899,20.84,47,100,5.51,RU,1695578322
320,praia da vitoria,38.7333,-27.0667,24.14,64,20,2.62,PT,1695578322
321,malango,-2.9627,119.9001,17.41,93,69,1.03,ID,1695578322
322,klyuchi,52.2667,79.1667,8.5,72,100,2.57,RU,1695578322
323,akrehamn,59.2667,5.1833,15.23,88,75,6.17,NO,1695578323
324,tirlyanskiy,54.2109,58.5806,10.75,92,22,1.2,RU,1695578323
325,kongwa,-6.2,36.4167,22.93,46,52,4.33,TZ,1695578323
326,lazaro cardenas,17.9583,-102.2,31.82,67,8,2.96,MX,1695578323
327,mobaye,4.319,21.1786,21.27,98,98,0.87,CF,1695578323
328,san bernardo del viento,9.3533,-75.9524,29.6,78,93,4.48,CO,1695578324
329,kimbe,-5.5502,150.1429,24.39,90,100,2.56,PG,1695578324
330,bathsheba,13.2167,-59.5167,33.34,66,40,7.2,BB,1695578324
331,taoudenni,22.6783,-3.9836,41.32,7,1,1.92,ML,1695578324
332,greymouth,-42.4667,171.2,3.53,87,8,4.38,NZ,1695578324
333,elk river,45.3038,-93.5672,21.64,79,99,2.24,US,1695578325
334,piti village,13.4626,144.6933,27.49,88,0,0.0,GU,1695578325
335,cascais,38.6979,-9.4215,26.92,41,0,6.17,PT,1695578325
336,vishnevogorsk,55.9913,60.6579,15.44,75,3,3.4,RU,1695578325
337,ulladulla,-35.35,150.4667,10.48,79,0,2.62,AU,1695578326
338,kokopo,-4.352,152.2633,24.61,87,98,3.02,PG,1695578326
339,mugia,43.1041,-9.2179,20.51,86,78,5.3,ES,1695578326
340,bandon,51.7469,-8.7425,14.77,90,74,8.6,IE,1695578326
341,laayoune,27.1622,-13.2032,27.19,57,0,8.23,EH,1695578326
342,huarmey,-10.0681,-78.1522,22.7,74,35,5.05,PE,1695578248
343,znamenka,52.4167,41.4311,17.07,39,23,3.47,RU,1695578327
344,ciudad lazaro cardenas,17.9583,-102.2,31.82,67,8,2.96,MX,1695578327
345,martapura,-3.4167,114.85,24.05,100,100,1.54,ID,1695578327
346,kushk,33.2957,61.9522,16.88,25,0,10.21,AF,1695578327
347,alappuzha,9.49,76.3264,26.46,85,16,3.12,IN,1695578328
348,nacala,-14.5428,40.6728,24.43,82,5,2.59,MZ,1695578328
349,matoury,4.8483,-52.3317,33.98,59,75,4.63,GF,1695578328
350,datong,40.0936,113.2914,11.68,88,67,1.25,CN,1695578328
351,fairfield glade,36.0004,-84.8863,25.1,52,20,2.57,US,1695578329
352,padang,-0.9492,100.3543,23.03,82,100,1.47,ID,1695578329
353,tandil,-37.3217,-59.1332,13.71,42,75,2.76,AR,1695578329
354,segou,13.4317,-6.2157,33.89,41,7,1.22,ML,1695578329
355,selfoss,63.9331,-20.9971,7.25,84,100,9.82,IS,1695578330
356,nuku'alofa,-21.1333,-175.2,22.19,83,40,7.2,TO,1695578330
357,egilsstadir,65.2653,-14.3948,6.95,76,75,7.2,IS,1695578330
358,manavalakurichi,8.1333,77.3,26.51,85,2,6.28,IN,1695578330
359,udachny,66.4167,112.4,10.25,70,52,2.09,RU,1695578331
360,fort stockton,30.894,-102.8793,33.42,25,0,7.2,US,1695578331
361,alofi,-19.0595,-169.9187,21.94,56,100,4.63,NU,1695578331
362,rabo de peixe,37.8,-25.5833,23.88,99,20,4.12,PT,1695578331
363,gardnerville ranchos,38.8882,-119.7413,21.55,20,0,2.06,US,1695578332
364,peronnas,46.1907,5.2082,17.36,71,2,0.2,FR,1695578332
365,semnan,35.5729,53.3971,21.46,33,2,1.8,IR,1695578332
366,san-pedro,4.7485,-6.6363,24.63,90,96,3.15,CI,1695578332
367,diepsloot,-25.9308,28.0123,24.74,37,0,8.75,ZA,1695578332
368,vernon,50.2581,-119.2691,17.01,82,46,1.03,CA,1695578035
369,kiunga,-6.1219,141.2906,22.02,98,100,1.75,PG,1695578333
370,sechura,-5.5569,-80.8222,27.33,57,38,6.32,PE,1695578333
371,kristiansund,63.1115,7.732,11.36,62,40,0.0,NO,1695578333
372,assab,13.0092,42.7394,32.15,60,91,2.14,ER,1695578333
373,podporozh'ye,60.9112,34.1706,12.51,88,98,3.23,RU,1695578334
374,mahavelona,-17.6848,49.5087,23.99,84,14,1.53,MG,1695578334
375,ashmun,30.2986,30.9764,32.47,36,0,4.31,EG,1695578334
376,obudu,6.6674,9.1716,24.6,89,98,1.5,NG,1695578334
377,carnarvon,-24.8667,113.6333,18.6,82,0,7.98,AU,1695578334
378,banjarmasin,-3.3244,114.591,24.08,85,62,1.43,ID,1695578335
379,carloforte,39.145,8.3058,21.03,66,0,7.14,IT,1695578335
380,la passe,45.5549,-0.8967,23.13,52,46,2.38,FR,1695578335
381,hasaki,35.7333,140.8333,19.22,59,30,6.91,JP,1695578335
